class_name,col_va,col_offset,vtable_start,vtable_end,slot_count,slot3_value,stop_reason
.?AVArkPortalInterface@@,0x00AB2F74,0,0x00A91C9C,0x00A91CB0,5,0x0095D4FA,non_code:0xab2fbc
.?AVArkPortalCellGraph@@,0x00AB2FBC,0,0x00A91CB4,0x00A91CC8,5,0x0084D750,non_code:0x1
.?AVArkPortalIdGeneratorInterface@@,0x00AB3008,0,0x00A91CD0,0x00A91CDC,3,0x00000000,non_code:0xab3050
.?AVArkPortalIdGenerator@@,0x00AB3050,0,0x00A91CE0,0x00A91CEC,3,0x00000000,non_code:0x1
.?AVArkPortalCell@@,0x00AB309C,0,0x00A91CF8,0x00A91D00,2,0x00000000,non_code:0xab30e4
.?AVArkPortalResourceItem@@,0x00AB30E4,0,0x00A91D04,0x00A91D10,3,0x00000000,non_code:0x1
.?AVArkPortalPortal@@,0x00AB3130,0,0x00A91D18,0x00A91D20,2,0x00000000,non_code:0x1
.?AVNxUserOutputStream@@,0x00AB3178,0,0x00A91D60,0x00A91D70,4,0x00856220,non_code:0x3c888889
.?AVNxShapeDesc@@,0x00AB31C0,0,0x00A91D78,0x00A91D84,3,0x00000000,non_code:0xab3208
.?AVNxBoxShapeDesc@@,0x00AB3208,0,0x00A91D88,0x00A91D94,3,0x00000000,non_code:0xab3254
.?AVNxCapsuleShapeDesc@@,0x00AB3254,0,0x00A91D98,0x00A91DA4,3,0x00000000,non_code:0xab32a0
.?AVNxTriangleMeshShapeDesc@@,0x00AB32A0,0,0x00A91DA8,0x00A91DB4,3,0x00000000,non_code:0xab32ec
.?AVNxHeightFieldShapeDesc@@,0x00AB32EC,0,0x00A91DB8,0x00A91DC4,3,0x00000000,non_code:0x34000000
.?AVArkNxErrorStream@@,0x00AB3338,0,0x00A91DCC,0x00A91DDC,4,0x00856220,non_code:0x646e694d
.?AVArkBoundResourceItemFactory@@,0x00AB3384,0,0x00A91E3C,0x00A91E48,3,0x00000000,non_code:0xab33d0
.?AVMovableObject@@,0x00AB33D0,0,0x00A91E4C,0x00A91E80,13,0x0085B6A0,non_code:0x54442d18
.?AVNxJointDesc@@,0x00AB33E4,0,0x00A91EB4,0x00A91EC0,3,0x00000000,non_code:0x3db295ea
.?AVNxRevoluteJointDesc@@,0x00AB342C,0,0x00A91ECC,0x00A91ED8,3,0x00000000,non_code:0xab3478
