nif,parent_ninode_block,texture_effect_block,kind
384738.nif,84,6,NINODE_EFFECTS
384738.nif,91,6,NINODE_EFFECTS
384738.nif,118,6,NINODE_EFFECTS
384738.nif,125,6,NINODE_EFFECTS
384738.nif,131,6,NINODE_EFFECTS
384738.nif,137,6,NINODE_EFFECTS
385788.nif,24,8,NINODE_EFFECTS
385806.nif,19,14,NINODE_EFFECTS
386948.nif,86,68,NINODE_EFFECTS
388348.nif,16,5,NINODE_EFFECTS
388348.nif,21,5,NINODE_EFFECTS
388423.nif,22,4,NINODE_EFFECTS
388440.nif,22,7,NINODE_EFFECTS
388457.nif,15,4,NINODE_EFFECTS
388457.nif,28,4,NINODE_EFFECTS
388476.nif,15,4,NINODE_EFFECTS
388476.nif,27,4,NINODE_EFFECTS
388960.nif,45,5,NINODE_EFFECTS
388960.nif,51,5,NINODE_EFFECTS
388960.nif,97,5,NINODE_EFFECTS
388960.nif,102,5,NINODE_EFFECTS
388960.nif,108,5,NINODE_EFFECTS
388960.nif,114,5,NINODE_EFFECTS
388960.nif,145,5,NINODE_EFFECTS
389512.nif,22,7,NINODE_EFFECTS
389550.nif,29,4,NINODE_EFFECTS
389632.nif,5,9,NINODE_EFFECTS
389951.nif,15,4,NINODE_EFFECTS
389951.nif,27,4,NINODE_EFFECTS
390397.nif,49,5,NINODE_EFFECTS
390397.nif,92,5,NINODE_EFFECTS
390397.nif,98,5,NINODE_EFFECTS
395049.nif,201,56,NINODE_EFFECTS
395447.nif,40,4,NINODE_EFFECTS
395640.nif,36,4,NINODE_EFFECTS
395706.nif,10,5,NINODE_EFFECTS
395707.nif,10,4,NINODE_EFFECTS
397022.nif,38,27,NINODE_EFFECTS
400215.nif,25,5,NINODE_EFFECTS
401177.nif,81,18,NINODE_EFFECTS
401177.nif,86,17,NINODE_EFFECTS
401198.nif,44,39,NINODE_EFFECTS
401198.nif,54,33,NINODE_EFFECTS
401198.nif,54,34,NINODE_EFFECTS
401198.nif,54,35,NINODE_EFFECTS
401198.nif,54,36,NINODE_EFFECTS
401198.nif,54,37,NINODE_EFFECTS
401198.nif,54,38,NINODE_EFFECTS
401230.nif,37,26,NINODE_EFFECTS
401230.nif,42,20,NINODE_EFFECTS
401230.nif,42,21,NINODE_EFFECTS
401230.nif,42,22,NINODE_EFFECTS
401230.nif,42,23,NINODE_EFFECTS
401230.nif,42,24,NINODE_EFFECTS
401230.nif,42,25,NINODE_EFFECTS
401230.nif,74,19,NINODE_EFFECTS
401230.nif,79,18,NINODE_EFFECTS
40148.nif,57,19,NINODE_EFFECTS
401523.nif,25,8,NINODE_EFFECTS
401523.nif,25,9,NINODE_EFFECTS
401523.nif,31,7,NINODE_EFFECTS
401523.nif,34,6,NINODE_EFFECTS
401550.nif,37,4,NINODE_EFFECTS
401573.nif,61,43,NINODE_EFFECTS
401573.nif,61,44,NINODE_EFFECTS
401573.nif,61,45,NINODE_EFFECTS
401573.nif,61,46,NINODE_EFFECTS
401573.nif,61,47,NINODE_EFFECTS
401573.nif,61,48,NINODE_EFFECTS
405302.nif,50,13,NINODE_EFFECTS
405327.nif,81,10,NINODE_EFFECTS
405365.nif,38,10,NINODE_EFFECTS
406925.nif,22,5,NINODE_EFFECTS
406938.nif,24,7,NINODE_EFFECTS
406938.nif,27,6,NINODE_EFFECTS
406955.nif,14,4,NINODE_EFFECTS
406964.nif,12,4,NINODE_EFFECTS
406991.nif,11,4,NINODE_EFFECTS
407048.nif,24,28,NINODE_EFFECTS
407048.nif,31,28,NINODE_EFFECTS
407048.nif,39,28,NINODE_EFFECTS
411907.nif,35,7,NINODE_EFFECTS
41284.nif,12,6,NINODE_EFFECTS
41379.nif,12,6,NINODE_EFFECTS
417135.nif,96,92,NINODE_EFFECTS
419152.nif,9,14,NINODE_EFFECTS
419170.nif,8,13,NINODE_EFFECTS
419362.nif,15,9,NINODE_EFFECTS
419395.nif,79,9,NINODE_EFFECTS
419714.nif,24,4,NINODE_EFFECTS
420943.nif,10,5,NINODE_EFFECTS
422052.nif,10,5,NINODE_EFFECTS
422438.nif,-1,4,ORPHAN_NO_PARENT_NINODE
422544.nif,123,68,NINODE_EFFECTS
422705.nif,107,4,NINODE_EFFECTS
422705.nif,114,4,NINODE_EFFECTS
422705.nif,120,4,NINODE_EFFECTS
422764.nif,44,4,NINODE_EFFECTS
422794.nif,23,8,NINODE_EFFECTS
422804.nif,13,4,NINODE_EFFECTS
423020.nif,282,52,NINODE_EFFECTS
424793.nif,18,23,NINODE_EFFECTS
43738.nif,95,33,NINODE_EFFECTS
43738.nif,261,33,NINODE_EFFECTS
43738.nif,265,33,NINODE_EFFECTS
461251.nif,14,19,NINODE_EFFECTS
469318.nif,9,4,NINODE_EFFECTS
469322.nif,9,5,NINODE_EFFECTS
469337.nif,9,5,NINODE_EFFECTS
469372.nif,9,5,NINODE_EFFECTS
469644.nif,14,19,NINODE_EFFECTS
469664.nif,-1,74,ORPHAN_NO_PARENT_NINODE
469664.nif,-1,75,ORPHAN_NO_PARENT_NINODE
469664.nif,-1,76,ORPHAN_NO_PARENT_NINODE
469664.nif,-1,77,ORPHAN_NO_PARENT_NINODE
469664.nif,-1,78,ORPHAN_NO_PARENT_NINODE
469664.nif,-1,79,ORPHAN_NO_PARENT_NINODE
469664.nif,-1,80,ORPHAN_NO_PARENT_NINODE
469664.nif,64,69,NINODE_EFFECTS
469705.nif,14,20,NINODE_EFFECTS
47161.nif,40,13,NINODE_EFFECTS
47161.nif,41,13,NINODE_EFFECTS
47949.nif,9,6,NINODE_EFFECTS
48001.nif,74,12,NINODE_EFFECTS
488525.nif,42,12,NINODE_EFFECTS
488525.nif,46,11,NINODE_EFFECTS
488560.nif,30,9,NINODE_EFFECTS
488570.nif,30,9,NINODE_EFFECTS
488615.nif,0,4,NINODE_EFFECTS
488627.nif,25,11,NINODE_EFFECTS
488627.nif,25,12,NINODE_EFFECTS
488627.nif,25,13,NINODE_EFFECTS
488627.nif,25,14,NINODE_EFFECTS
488627.nif,25,15,NINODE_EFFECTS
488627.nif,25,16,NINODE_EFFECTS
489031.nif,-1,43,ORPHAN_NO_PARENT_NINODE
489031.nif,387,44,NINODE_EFFECTS
489643.nif,16,11,NINODE_EFFECTS
489646.nif,20,4,NINODE_EFFECTS
489648.nif,22,14,NINODE_EFFECTS
489648.nif,22,15,NINODE_EFFECTS
489648.nif,45,13,NINODE_EFFECTS
489649.nif,14,4,NINODE_EFFECTS
489650.nif,16,5,NINODE_EFFECTS
489650.nif,21,4,NINODE_EFFECTS
489651.nif,13,4,NINODE_EFFECTS
489652.nif,16,5,NINODE_EFFECTS
489652.nif,21,4,NINODE_EFFECTS
489709.nif,14,9,NINODE_EFFECTS
489792.nif,20,4,NINODE_EFFECTS
489799.nif,31,11,NINODE_EFFECTS
489859.nif,97,5,NINODE_EFFECTS
489861.nif,478,370,NINODE_EFFECTS
489861.nif,486,369,NINODE_EFFECTS
489861.nif,490,368,NINODE_EFFECTS
489861.nif,495,367,NINODE_EFFECTS
489861.nif,500,366,NINODE_EFFECTS
489863.nif,40,4,NINODE_EFFECTS
489865.nif,31,8,NINODE_EFFECTS
489865.nif,43,7,NINODE_EFFECTS
489865.nif,49,6,NINODE_EFFECTS
489873.nif,35,4,NINODE_EFFECTS
489877.nif,10,5,NINODE_EFFECTS
489890.nif,12,16,NINODE_EFFECTS
489890.nif,19,23,NINODE_EFFECTS
489953.nif,4,9,NINODE_EFFECTS
489976.nif,4,9,NINODE_EFFECTS
490002.nif,4,9,NINODE_EFFECTS
490472.nif,4,24,NINODE_EFFECTS
490472.nif,5,18,NINODE_EFFECTS
490472.nif,6,12,NINODE_EFFECTS
490714.nif,23,27,NINODE_EFFECTS
490714.nif,29,33,NINODE_EFFECTS
490865.nif,29,23,NINODE_EFFECTS
490865.nif,38,22,NINODE_EFFECTS
490865.nif,44,15,NINODE_EFFECTS
490865.nif,44,16,NINODE_EFFECTS
490865.nif,44,17,NINODE_EFFECTS
490865.nif,44,18,NINODE_EFFECTS
490865.nif,44,19,NINODE_EFFECTS
490865.nif,44,20,NINODE_EFFECTS
490865.nif,44,21,NINODE_EFFECTS
490889.nif,18,7,NINODE_EFFECTS
490900.nif,13,4,NINODE_EFFECTS
490901.nif,12,6,NINODE_EFFECTS
490901.nif,17,5,NINODE_EFFECTS
490918.nif,0,5,NINODE_EFFECTS
490920.nif,11,5,NINODE_EFFECTS
491002.nif,13,8,NINODE_EFFECTS
491092.nif,11,5,NINODE_EFFECTS
491098.nif,13,6,NINODE_EFFECTS
491098.nif,13,7,NINODE_EFFECTS
491106.nif,13,6,NINODE_EFFECTS
491106.nif,13,7,NINODE_EFFECTS
491113.nif,14,6,NINODE_EFFECTS
491113.nif,14,7,NINODE_EFFECTS
491253.nif,10,4,NINODE_EFFECTS
491253.nif,14,4,NINODE_EFFECTS
491654.nif,19,6,NINODE_EFFECTS
491654.nif,24,5,NINODE_EFFECTS
491655.nif,12,4,NINODE_EFFECTS
492015.nif,13,4,NINODE_EFFECTS
492792.nif,33,23,NINODE_EFFECTS
492792.nif,65,22,NINODE_EFFECTS
492793.nif,33,17,NINODE_EFFECTS
