file,ext_len,subclass43,ext_hex,mesh,morph,skin,particle,blocks,mirror
516154.nif,85,,030000000100004040020000006686793fa88c5940cde7fcbd0998c43f0000000035fa8ebe66969243c3b8323f010000006686793fa88c5940cde7fcbd0998c43f0000000035fa8ebe66969243c3b8323f01000000,1,0,0,0,12,1
516162.nif,85,,0300000001000040400200000072168a3f57b23d40cd95e1bd0998c43f0000000035fa8ebee1faf043c3b8323f0200000072168a3f57b23d40cd95e1bd0998c43f0000000035fa8ebee1faf043c3b8323f02000000,1,0,0,0,12,1
516169.nif,85,,0300000001000040400200000072168a3f57b23d40e597e1bd0998c43f0000000035fa8ebeaab91344c3b8323f0200000072168a3f57b23d40e597e1bd0998c43f0000000035fa8ebeaab91344c3b8323f02000000,1,0,0,0,12,1
516175.nif,85,,030000000100004040020000003a787a3f855f5a401edcfdbd0998c43f0000000035fa8ebe1d9af543c3b8323f020000003a787a3f855f5a401edcfdbd0998c43f0000000035fa8ebe1d9af543c3b8323f02000000,1,0,0,0,12,1
516183.nif,85,,030000000100004040020000000f62b33fca6c7640ec8512be0998c43f0000000035fa8ebe31206a44c3b8323f020000000f62b33fca6c7640ec8512be0998c43f0000000035fa8ebe31206a44c3b8323f02000000,1,0,0,0,12,1
516188.nif,85,,030000000100004040020000003a238e3ff06d7c40ec8512be0998c43f0000000035fa8ebecda45644c3b8323f030000003a238e3ff06d7c40ec8512be0998c43f0000000035fa8ebecda45644c3b8323f03000000,1,0,0,0,12,1
499034.nif,85,,030000000100004040020000002aa94e4118e012413a1227c21505973e00000000f1cb81bfb29d6643c2b8323f020000002aa94e4118e012413a1227c21505973e00000000f1cb81bfb29d6643c2b8323f02000000,1,0,0,0,28,1
239259.nif,85,,03000000010000404002000000ca3260c042cf56418e86ccc1e104eb3e000000001e206a3eae673443c3b8323f010000003e5b37bfe4145a41304cbac17fa8913e0998c4beb27c6f3f08ece942c3b8323f01000000,1,0,0,0,12,1
239341.nif,85,,03000000010000404002000000f3e50bc00000000058a86cc100000000000000000000000016bb7042c3b8323f010000001895d0bf527eba3f58a84cc1ae300d3e438d923da2c33abff54a6542c3b8323f01000000,1,0,0,0,12,1
239282.nif,85,,03000000010000404002000000f6edbc3ef6edbc3edfcfc1c1000000000000000000000000d5b8e542c3b8323f01000000f6edbc3ef6edbc3e7969b7c10000000000000000000000007c52b542c3b8323f01000000,1,0,0,0,12,1
239260.nif,85,,03000000010000404002000000000000000000000042cfb3c10000000000000000000000001ccbbf42c3b8323f01000000000000000000000042cfb3c1000000000000000000000000b6649442c3b8323f01000000,1,0,0,0,12,1
239347.nif,85,,03000000010000404002000000f99f08bf9f8f3e3f0da689bf000000004a8234bf0da181c0c10ad942c3b8323f01000000f99f08bf9f8f3e3f59c0dc3f000000004a8234bf0da181c0e77b7042c3b8323f01000000,1,0,0,0,15,1
239263.nif,85,,03000000010000404002000000d6a794be0b267ebc6065b7c100000000000000000000000058f9cc42c3b8323f01000000d6a794be0b267ebcc7cba9c1a09d093e00000000000000008b2cc142c3b8323f01000000,1,0,0,0,12,1
506367.nif,85,,03000000010000404002000000a81d1ebe0a800d400d8ef6bf920a063f6e469dbc00000000bf0e4d42c2b8323f02000000a81d1ebe0a800d400d8ef6bf920a063f6e469dbc00000000bf0e4d42c2b8323f02000000,1,0,0,0,12,1
506376.nif,85,,030000000100004040020000008787683fa167094055bf32be646c633f41513abfc44b4b3f284f2d42c3b8323f01000000c4ea4f3eec5118bf155701c0646c633f41513abfc44b4b3faf250742c3b8323f01000000,1,0,0,0,12,1
536062.nif,121,,030000000100004040030000000c93c4c033dc2a40b673bbc19656e83d8477823e000000008d57d142c2b8323f020000000c93c4c033dc2a40b673bbc19656e83d8477823e000000008d57d142c2b8323f02000000a52c8ec033dc2a40e9a68ac11e20eabe1bfab83e0000000081151942c2b8323f02000000,1,0,0,1,65,1
534390.nif,85,,03000000010000404002000000c72b083f81ec2d40f7e43dc1feb5c53f1cfab8be89c3e4baa4e0e843c3b8323f03000000c72b083f81ec2d40f7e43dc1feb5c53f1cfab8be89c3e4baa4e0e843c3b8323f03000000,1,0,0,0,71,1
