file,flag_state,nif_version,exporter,mesh,morph,skin,blocks,geom_triangles,entry_count,mirror
209969.nif,000000,4.1.0.12,4.1.0.12,1,0,0,109,598,18,1
210004.nif,000000,4.1.0.12,4.1.0.12,1,0,0,109,598,18,1
191534.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,340,3,1
354708.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,30,7408,5,1
336745.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,29,660,7,1
339919.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,35,460,10,1
168391.nif,000000,4.1.0.12,4.1.0.12,1,0,0,21,418,4,1
347163.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,55,4369,18,1
349582.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,24,992,2,1
347238.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,61,2390,16,1
349584.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,10,306,1,1
347265.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,47,2381,13,1
347288.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,64,5114,17,1
351034.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,15,268,2,1
349589.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,18,2601,6,1
353231.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,18,944,6,1
353260.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,18,424,6,1
353281.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,18,432,6,1
353306.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,18,843,6,1
347342.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,56,3993,20,1
333065.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,56,3660,13,1
332924.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,54,4968,12,1
333113.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,45,2181,12,1
333158.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,47,1045,6,1
333195.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,35,1284,10,1
333229.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,32,2202,8,1
333308.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,73,4215,14,1
334354.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,14,3304,1,1
333375.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,23,1834,5,1
188620.nif,000000,4.1.0.12,4.1.0.12,1,0,0,12,234,1,1
188681.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,240,1,1
188307.nif,000000,4.1.0.12,4.1.0.12,1,0,0,10,644,2,1
202233.nif,000000,4.1.0.12,4.1.0.12,1,0,0,105,940,28,1
425119.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,29,390,4,1
400215.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,30,2090,7,1
426102.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
426098.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
426105.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
425983.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
425980.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
425986.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
425989.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
425999.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
426002.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
426005.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
426008.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,12,14,1,1
132780.nif,000000,4.1.0.12,4.1.0.12,1,0,0,218,1513,34,1
360290.nif,0000ff,4.1.0.12,4.1.0.12,1,0,1,339,1496,14,1
424276.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,35,368,13,1
356828.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,30,7408,5,1
390029.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,25,5825,4,1
390036.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,14,452,2,1
422935.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,30,116,5,1
386860.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,26,50,3,1
406251.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,30,160,3,1
6119.nif,000000,4.1.0.12,4.0.0.2,1,0,0,15,34,1,1
6140.nif,000000,4.1.0.12,4.0.0.2,1,0,0,19,76,1,1
4440.nif,000000,4.1.0.12,4.0.0.2,1,0,0,23,84,3,1
254759.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,16,24,2,1
254734.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,16,24,2,1
258090.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,16,32,2,1
246658.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,11,310,1,1
194060.nif,000000,4.1.0.12,4.1.0.12,1,0,0,11,2,1,1
70909.nif,000000,4.1.0.12,4.0.0.2,1,0,0,13,12,1,1
71116.nif,000000,4.1.0.12,4.0.0.2,1,0,0,13,12,1,1
