entry_index,name,size_stored,offset,size_plain,compression,sha256_stored,sha256_plain,header_string,version_hex,version_label,header_version_text,text_version_match,field_c,field_d,scan_status
2627,98675.nif,2736,266661388,2736,raw,AC37923C9687E07A7676EE16C139B0242887922329CCF8448FD7BC253E05A978,AC37923C9687E07A7676EE16C139B0242887922329CCF8448FD7BC253E05A978,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x14DCB9C4,0x14DCB9C4,SCANNED
2628,98678.nif,2736,266664124,2736,raw,115DF667A24B821A44D4829943858C7C7650017B01050E5C763C1F5585A48047,115DF667A24B821A44D4829943858C7C7650017B01050E5C763C1F5585A48047,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x95404390,0x95404390,SCANNED
2629,98681.nif,2736,266666860,2736,raw,DF58FF8BF994853E0B66F946ABCDA898C71BF7DA131DA770AB4257400B9C3165,DF58FF8BF994853E0B66F946ABCDA898C71BF7DA131DA770AB4257400B9C3165,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xB36F2E9F,0xB36F2E9F,SCANNED
2630,98684.nif,2736,266669596,2736,raw,48923DF1EFFFF1A52965159ACA3BFD0EF5CD8D91E1EC1F72949DB58731F1B2EB,48923DF1EFFFF1A52965159ACA3BFD0EF5CD8D91E1EC1F72949DB58731F1B2EB,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x77F59F18,0x77F59F18,SCANNED
2631,98688.nif,2736,266672332,2736,raw,AF8986CABF584F361960D9B07B235BB33F8E1EC5B8265231E3ECD192EE016AF6,AF8986CABF584F361960D9B07B235BB33F8E1EC5B8265231E3ECD192EE016AF6,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xF86974A4,0xF86974A4,SCANNED
2632,98691.nif,2736,266675068,2736,raw,63A3F0C016A20DCEDA7D8295274B1B4E400424B18CB5CD8C3DE8D4B7D21DA8A9,63A3F0C016A20DCEDA7D8295274B1B4E400424B18CB5CD8C3DE8D4B7D21DA8A9,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x59AD7274,0x59AD7274,SCANNED
2633,296370.nif,3144,266677804,3144,raw,B7A67DE5A9201433BB38F442F5A48B3A90BAC2B9B7E00B9CF2140AC7FF5C2178,B7A67DE5A9201433BB38F442F5A48B3A90BAC2B9B7E00B9CF2140AC7FF5C2178,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x16BB7470,0x16BB7470,SCANNED
2634,523288.nif,6530,266680948,6530,raw,9247E82FF880CC28407B77FC342F35DD2B76A02526D4942AA046A4A6593AD355,9247E82FF880CC28407B77FC342F35DD2B76A02526D4942AA046A4A6593AD355,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x04C6B307,0x04C6B307,SCANNED
2635,524432.nif,12260,266687478,12260,raw,ABD73F4519F37006F63C3FB04D0F7B274B20447E16F483888EF5FC8C617090F1,ABD73F4519F37006F63C3FB04D0F7B274B20447E16F483888EF5FC8C617090F1,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x943EFB61,0x943EFB61,SCANNED
2636,525662.nif,6528,266699738,6528,raw,71C08AD083DCD469D8B0951A2696B067CB997D7CC71A1062014E8690BD67BCF1,71C08AD083DCD469D8B0951A2696B067CB997D7CC71A1062014E8690BD67BCF1,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x48148BDD,0x48148BDD,SCANNED
2637,525665.nif,6528,266706266,6528,raw,6831E57100A36A8259DA6A973DBB56CB624D4AA2829D090E05A5C56A595D6187,6831E57100A36A8259DA6A973DBB56CB624D4AA2829D090E05A5C56A595D6187,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xE250032A,0xE250032A,SCANNED
2638,525668.nif,12260,266712794,12260,raw,B56F8491C730EC1E400244CB1FA47A10D5A91AE9E896676B47BA9FBA330DDEA6,B56F8491C730EC1E400244CB1FA47A10D5A91AE9E896676B47BA9FBA330DDEA6,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xD8747297,0xD8747297,SCANNED
2639,525671.nif,6530,266725054,6530,raw,5F03DD768B2819FED3A0BE03D38E87061A0C77C79DAA040C1B5607BE9F264047,5F03DD768B2819FED3A0BE03D38E87061A0C77C79DAA040C1B5607BE9F264047,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xAB97D99D,0xAB97D99D,SCANNED
